TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
USIM3;8,31;0,60;-84,27;0,67;0,39;12,42;6,63;-0,81;10,31;;3,52;0,23;0,68;1,57;-0,60;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;2.439.741,53
USIM5;7,70;0,71;-78,08;0,62;0,36;12,42;6,63;-0,81;9,55;;3,52;0,23;0,63;1,46;-0,55;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;167.490.527,89
USIM6;9,50;0,58;-96,34;0,76;0,44;12,42;6,63;-0,81;11,79;;3,52;0,23;0,78;1,80;-0,68;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;1.900,00
VALE3;55,45;2,55;-193,61;1,69;0,67;42,73;11,19;-1,02;17,59;19,76;2,18;0,21;1,97;6,74;-0,87;1,72;-0,88;-0,34;4,99;0,39;0,61;0,34;12,46;;1.561.715.732,50
VIVA3;21,24;0,80;18,11;4,52;2,74;70,18;33,57;28,98;15,63;15,09;-0,54;-0,16;5,25;6,20;-8,13;3,00;24,98;15,14;22,53;0,61;0,39;0,52;;;39.977.988,33
VIVR3;1,93;;-0,54;-0,81;0,23;25,79;125,50;163,73;-0,70;-1,86;-1,16;;;-0,47;-0,38;0,44;149,67;-43,41;-307,04;-0,29;1,29;-0,27;;;1.443.818,44
VIVT3;49,24;5,56;17,30;1,17;0,76;49,70;16,33;10,91;11,56;12,62;1,10;0,11;1,89;42,15;-0,94;1,10;6,76;4,38;6,78;0,65;0,35;0,40;4,81;0,26;4.513.046,53
VIVT4;49,05;6,14;17,24;1,16;0,76;49,70;16,33;10,91;11,51;12,62;1,10;0,11;1,88;41,98;-0,94;1,10;6,76;4,38;6,78;0,65;0,35;0,40;4,81;0,26;149.433.864,00
VLID3;11,19;6,26;19,60;0,63;0,28;21,29;6,31;1,99;6,17;12,29;6,11;0,63;0,39;1,68;-0,48;1,67;3,23;1,43;4,81;0,44;0,56;0,72;9,15;-13,37;10.943.222,08
VSPT3;0,00;;0,00;0,00;0,00;11,36;10,08;5,55;0,00;-0,43;-0,43;-0,02;0,00;0,00;0,00;0,61;2,97;1,61;3,85;0,54;0,46;0,29;10,01;;
VSPT4;0,00;;0,00;0,00;0,00;11,36;10,08;5,55;0,00;-0,43;-0,43;-0,02;0,00;0,00;0,00;0,61;2,97;1,61;3,85;0,54;0,46;0,29;10,01;;
VULC3;5,04;;9,85;1,12;0,90;34,41;9,14;9,69;10,43;9,95;-0,48;-0,05;0,95;1,90;-2,22;4,78;11,40;9,10;9,76;0,80;0,20;0,94;5,57;;5.760.504,83
VVAR3;15,01;;-17,40;37,40;1,00;29,39;-3,69;-5,37;-25,34;;-3,78;5,58;0,93;-6,84;-2,00;0,77;-214,98;-5,76;-24,20;0,03;0,97;1,07;2,50;;1.394.757.910,67
WEGE3;46,04;0,89;54,34;9,78;5,56;29,68;14,15;12,59;48,32;48,11;-0,22;-0,04;6,84;17,10;-14,27;2,14;17,99;10,24;14,47;0,57;0,43;0,81;11,23;11,15;212.540.444,56
WHRL3;6,37;23,39;6,25;2,92;1,23;17,49;7,40;19,10;16,12;14,53;-1,81;-0,33;1,19;5,31;-5,17;1,43;46,68;19,64;9,29;0,42;0,58;1,03;-4,33;20,00;142.165,58
WHRL4;6,65;26,21;6,52;3,04;1,28;17,49;7,40;19,10;16,83;14,53;-1,81;-0,33;1,25;5,54;-5,40;1,43;46,68;19,64;9,29;0,42;0,58;1,03;-4,33;20,00;415.501,83
WIZS3;11,39;5,87;8,35;7,33;2,78;72,14;52,11;31,28;5,01;4,72;-0,29;-0,42;2,61;-21,37;-3,99;0,70;87,80;33,25;92,92;0,38;0,62;1,06;19,97;21,33;10.763.446,14
WLMM3;11,80;2,71;8,16;1,00;0,80;12,74;5,47;4,78;7,13;8,38;-0,37;-0,05;0,39;2,75;-1,33;3,82;12,24;9,84;11,33;0,80;0,20;2,06;4,61;32,46;4.698,47
WLMM4;16,70;2,11;11,55;1,41;1,14;12,74;5,47;4,78;10,09;8,38;-0,37;-0,05;0,55;3,89;-1,88;3,82;12,24;9,84;11,33;0,80;0,20;2,06;4,61;32,46;25.175,97
WSON33;33,35;3,41;38,02;1,04;0,44;44,15;17,95;3,85;8,16;14,97;6,82;0,87;1,46;7,68;-0,53;1,55;2,74;1,17;4,04;0,43;0,57;0,30;1,52;4,05;1.798.329,94
YDUQ3;37,15;1,37;20,03;3,51;1,50;57,55;24,01;16,12;13,45;14,56;1,11;0,29;3,23;4,88;-2,67;3,41;17,50;7,51;12,43;0,43;0,57;0,47;8,38;12,26;131.150.616,69
